name,code,population,lat,long,name,,
חולדה,160,1096,31.83215,34.881523,חולדה,,
חולית,1239,164,31.230563,34.32734,חולית,,
חולתה,253,669,33.052851,35.609244,חולתה,,
חוקוק,374,587,32.878631,35.496654,חוקוק,,
חורשים,355,330,32.137875,34.97102,חורשים,,
חמדיה,343,364,32.519773,35.520568,חמדיה,,
חניתה,280,761,33.087634,35.17343,חניתה,,
חנתון,1257,963,32.783051,35.245063,חנתון,,
חפץ חיים,363,561,31.789319,34.799739,חפץ חיים,,
חפצי-בה,90,741,32.518729,35.426247,חפצי-בה,,
חצור,406,624,31.772744,34.719366,חצור,,
חצרים,397,832,31.240603,34.717427,חצרים,,
טללים,1177,509,30.991511,34.771261,טללים,,
יגור,96,1604,32.741532,35.076826,יגור,,
יד מרדכי,358,767,31.586963,34.5575,יד מרדכי,,
יהל,1158,194,30.084234,35.128393,יהל,,
יזרעאל,452,556,32.562589,35.319425,יזרעאל,,
יחד,,,32.845979,35.360748,יחד,,
יחיעם,409,716,32.996109,35.221091,יחיעם,,
יטבתה,866,696,29.896322,35.059227,יטבתה,,
ייט'ב,3607,348,31.947215,35.422375,ייט'ב,,
יסעור,575,856,32.901145,35.166641,יסעור,,
יפעת ,,,32.675853,35.223982,יפעת ,,
יפתח,453,539,33.128346,35.55203,יפתח,,
יקום,417,749,32.249196,34.841903,יקום,,
יראון,623,410,33.077239,35.454291,יראון,,
כברי,576,1051,33.020985,35.147007,כברי,,
כיסופים,840,238,31.374545,34.398992,כיסופים,,
כישור,1153,184,32.946651,35.250213,כישור,,
כנרת,57,687,32.713239,35.55627,כנרת,,
כפר בלום,357,771,33.172527,35.607938,כפר בלום,,
כפר גליקסון,310,323,32.505824,35.00354,כפר גליקסון,,
כפר גלעדי,76,676,33.242078,35.574142,כפר גלעדי,,
כפר דניאל,707,715,31.933521,34.932306,כפר דניאל,,
כפר החורש,192,696,32.701549,35.272956,כפר החורש,,
כפר המכבי ,,,32.791804,35.114793,כפר המכבי ,,
כפר הנשיא ,,,32.97466,35.602308,כפר הנשיא ,,
כפר חרוב,4004,421,32.762357,35.66418,כפר חרוב,,
כפר מנחם,274,1365,31.732077,34.835079,כפר מנחם,,
כפר מסריק,297,831,32.891218,35.098414,כפר מסריק,,
כפר סאלד,345,632,33.196035,35.657993,כפר סאלד,,
כפר עזה,845,704,31.483416,34.532291,כפר עזה,,
כפר רופין,295,493,32.457549,35.555673,כפר רופין,,
כרמיה,,,31.602695,34.540413,כרמיה,,
כרם שלום,1085,157,31.228281,34.284559,כרם שלום,,
כרמים,1198,485,31.333464,34.917879,כרמים,,
להב,2023,529,31.379363,34.871311,להב,,
להבות הבשן,380,879,33.1412178,35.6478714,להבות הבשן,,
להבות חביבה,715,992,32.395216,35.01179,להבות חביבה,,
לוחמי הגיטאות,595,685,32.962661,35.096741,לוחמי הגיטאות,,
לוטם,1171,765,32.880858,35.35996,לוטם,,
לוטן,1255,200,29.988263,35.086776,לוטן,,
מבוא חמה,4204,434,32.736701,35.655207,מבוא חמה,,
מגוון,,,31.531713,34.590786,מגוון,,
מגידו,586,855,32.577899,35.179972,מגידו,,
מגל,375,1154,32.385556,35.036147,מגל,,
מגן,695,537,31.298108,34.427059,מגן,,
מורן,1163,458,32.921637,35.39481,מורן,,
מזרע,104,772,32.649879,35.286404,מזרע,,
מחניים,308,774,32.988845,35.570375,מחניים,,
מלכיה,,,33.098589,35.509624,מלכיה,,
מנרה,347,246,33.195375,35.543728,מנרה,,
מסדה,263,370,31.3114167,35.3626955,מסדה,,
מסילות,298,430,32.497362,35.474651,מסילות,,
מעברות,197,979,32.364197,34.905733,מעברות,,
מעגן,678,374,32.706344,35.600575,מעגן,,
מעגן מיכאל,694,1992,32.55871,34.917816,מעגן מיכאל,,
מעוז חיים,272,479,32.49407,35.550767,מעוז חיים,,
מעין ברוך,,,33.239349,35.609359,מעין ברוך,,
מעין צבי,,,32.568484,34.940623,מעין צבי,,
מעלה החמישה,286,769,31.817429,35.109406,מעלה החמישה,,
מענית,344,766,32.457992,35.026573,מענית,,
מפלסים,668,1006,31.502206,34.561674,מפלסים,,
מצובה,325,1171,33.062312,35.155705,מצובה,,
מצפה שלם,3610,211,31.568875,35.400367,מצפה שלם,,
מצר,648,378,32.440186,35.047702,מצר,,
מרום גולן,4101,724,33.132583,35.777071,מרום גולן,,
מרחביה,,,32.60585,35.30725,מרחביה,,
משאבי שדה,421,461,31.004042,34.785029,משאבי שדה,,
משגב עם,378,337,33.247572,35.548499,משגב עם,,
משמר דוד,563,871,31.823558,34.900676,משמר דוד,,
משמר הנגב,395,933,31.364796,34.717968,משמר הנגב,,
משמר העמק ,,,32.610063,35.142673,משמר העמק ,,
משמר השרון,194,606,32.356305,34.904256,משמר השרון,,
משמרות,213,979,32.486513,34.983892,משמרות,,
נאות מרדכי,408,586,33.159785,35.595602,נאות מרדכי,,
נאות סמדר,1197,222,30.049079,35.028106,נאות סמדר,,
נגבה,315,952,31.662547,34.679561,נגבה,,
נווה אור,590,342,32.589025,35.554544,נווה אור,,
נווה אילן,405,959,31.807585,35.080922,נווה אילן,,
נווה איתן,296,312,32.492304,35.533119,נווה איתן,,
נווה חריף,1279,118,30.039793,35.03649,נווה חריף,,
נווה ים,312,239,32.679769,34.93188,נווה ים,,
נחל עוז,844,404,31.47268,34.497675,נחל עוז,,
נחשולים,433,668,32.61309,34.92225,נחשולים,,
נחשון,777,580,31.831616,34.955986,נחשון,,
נחשונים,705,399,32.063236,34.947011,נחשונים,,
ניצנים,359,382,31.717845,34.634636,ניצנים,,
ניר אליהו,808,548,32.197593,34.949375,ניר אליהו,,
ניר דוד,,,32.504062,35.457622,ניר דוד,,
ניר יצחק,402,656,31.23604,34.356702,ניר יצחק,,
ניר עוז,69,392,31.309697,34.402075,ניר עוז,,
ניר עם,348,573,31.518459,34.580544,ניר עם,,
נירים,602,363,31.33573,34.394087,נירים,,
נען,158,1671,31.883208,34.859237,נען,,
נערן,3620,92,31.893473,35.42475,נערן,,
נצר סירני,,,31.922789,34.821191,נצר סירני,,
נתיב הל'ה,,,31.687184,34.982523,נתיב הל'ה,,
סאסא,578,402,33.02866,35.394569,סאסא,,
סופה,1238,204,31.238309,34.341987,סופה,,
סמר,1156,282,29.833968,35.022204,סמר,,
סער,454,839,33.028689,35.109232,סער,,
עברון,376,821,32.991149,35.100031,עברון,,
עין גב,273,680,32.783393,35.640119,עין גב,,
עין גדי,2042,603,31.451191,35.383571,עין גדי,,
עין דור,436,1026,32.655468,35.416388,עין דור,,
עין החורש,167,827,32.385871,34.939994,עין החורש,,
עין המפרץ,289,1238,32.902581,35.09304,עין המפרץ,,
עין השופט,270,833,32.596811,35.100445,עין השופט,,
עין השלושה,676,351,31.351722,34.403471,עין השלושה,,
עין חרוד איחוד,,,32.563099,35.391666,עין חרוד איחוד,,
עין חרוד מאוחד,,,32.556806,35.392995,עין חרוד מאוחד,,
עין כרמל,426,915,32.677912,34.953676,עין כרמל,,
עין זיון,,,33.09645,35.796313,עין זיון,,
עין שמר,139,553,32.461917,35.00673,עין שמר,,
עינת,871,812,32.081948,34.937514,עינת,,
עמיעד,385,441,32.930354,35.540521,עמיעד,,
עמיר,319,592,33.1777261,35.6198305,עמיר,,
פלך,1185,139,32.93367,35.23361,פלך,,
פלמחים,597,659,31.932705,34.706874,פלמחים,,
פרוד,599,566,32.933066,35.434318,פרוד,,
צאלים,413,464,31.203909,34.533359,צאלים,,
צובה,465,636,31.784352,35.117952,צובה,,
צרעה,567,919,31.762653,34.966931,צרעה,,
צבעון,1213,245,33.026363,35.416723,צבעון,,
קב' שילר,,,31.878777,34.798901,קב' שילר,,
קדרים,1211,252,32.898886,35.471565,קדרים,,
קטורה,1052,470,29.970887,35.061355,קטורה,,
קליה,3601,416,31.749896,35.466131,קליה,,
קרית ענבים,,,31.809913,35.120842,קרית ענבים,,
ראש הנקרה,,,33.08609,35.113455,ראש הנקרה,,
רבדים,564,766,31.773966,34.814807,רבדים,,
רביבים,354,1081,31.045195,34.721086,רביבים,,
רביד,1225,113,32.850619,35.464074,רביד,,
רגבה,390,1085,32.977493,35.099129,רגבה,,
רגבים,444,465,32.52344,35.033987,רגבים,,
רוחמה,362,687,31.497378,34.705165,רוחמה,,
רמות מנשה,445,1144,32.597042,35.057177,רמות מנשה,,
רמת דוד ,,,32.678991,35.204036,רמת דוד ,,
רמת הכובש,184,1098,32.218313,34.93829,רמת הכובש,,
רמת השופט,335,1067,32.609356,35.094079,רמת השופט,,
רמת יוחנן,178,982,32.793457,35.122208,רמת יוחנן,,
רמת רחל,127,545,31.7403163,35.2178825,רמת רחל,,
רעים,713,418,31.386159,34.458823,רעים,,
רשפים,437,1040,32.481235,35.47879,רשפים,,
שדה בוקר,885,464,30.873611,34.793098,שדה בוקר,,
שדה יואב,293,543,31.645723,34.676849,שדה יואב,,
שדה נחום,259,716,32.525068,35.480855,שדה נחום,,
שדה נחמיה,329,1216,33.188234,35.62307,שדה נחמיה,,
שדות ים,327,1055,32.492613,34.89315,שדות ים,,
שובל,394,802,31.413734,34.745814,שובל,,
שעלבים,856,1899,31.870235,34.984304,שעלבים,,
שמיר,366,912,33.166754,35.659949,שמיר,,
שמרת,432,555,32.95148,35.094955,שמרת,,
שניר,1132,562,33.240338,35.677015,שניר,,
שער הגולן,264,552,32.686919,35.604656,שער הגולן,,
שער העמקים,237,746,32.722621,35.110601,שער העמקים,,
שפיים,232,1276,32.216586,34.822409,שפיים,,
שריד,126,874,32.663059,35.224755,שריד,,
תובל,1172,324,32.928495,35.245675,תובל,,
תל יוסף,84,549,32.556704,35.398914,תל יוסף,,
תל יצחק,287,1017,32.252745,34.872378,תל יצחק,,
תל קציר,719,405,32.706396,35.61786,תל קציר,,
שומריה,,,31.432154,34.884095,שומריה,,
יפעת,134,1152,32.675853,35.223982,יפעת,,
כפר המכבי,254,372,32.791804,35.114793,כפר המכבי,,
